r_fighter,b_fighter,b_sig_str,b_td,finish_round,method,r_sig_str,r_td,time_sec,winner,winner_fighter
Karolina Kowalkiewicz,Denise Gomes,64.83,1.5,2.84,Decision - Unanimous,126.45,1.0,282.92517,Red Corner,Karolina Kowalkiewicz
Karolina Kowalkiewicz,Iasmin Lucindo,10.79,1.0,1.98,Decision - Unanimous,125.04,1.0,212.71623,Red Corner,Karolina Kowalkiewicz
Kelvin Gastelum,Daniel Rodriguez,64.58,0.0,2.04,Decision - Unanimous,30.44,1.0,255.38431,Red Corner,Kelvin Gastelum
Kennedy Nzechukwu,Chris Barnett,55.43,0.0,1.93,Decision - Unanimous,54.74,1.0,177.60616,Red Corner,Kennedy Nzechukwu
Kevin Holland,Michal Oleksiejczuk,0.23,1.0,0.91,Decision - Unanimous,36.93,1.0,210.0409,Red Corner,Kevin Holland
Kevin Jousset,Bryan Battle,104.45,1.0,1.69,Decision - Split,28.53,1.0,231.47606,Blue Corner,Bryan Battle
Kurt Holobaugh,Kaynan Kruschewsky,7.09,0.0,1.74,Decision - Unanimous,39.56,1.0,215.48198,Red Corner,Kurt Holobaugh
Leon Edwards,Belal Muhammad,68.59,1.0,1.64,Decision - Unanimous,58.97,1.94,206.5359,Red Corner,Leon Edwards
Lerone Murphy,Dan Ige,30.34,1.9,1.62,Decision - Unanimous,57.41,2.01,215.90498,Red Corner,Lerone Murphy
Li Jingliang,Carlos Prates,34.38,0.0,1.67,Decision - Unanimous,72.87,1.0,208.27061,Red Corner,Li Jingliang
Luana Pinheiro,Angela Hill,94.66,1.0,2.14,Decision - Unanimous,52.02,3.12,224.37984,Blue Corner,Angela Hill
Luana Pinheiro,Gillian Robertson,74.03,1.49,2.6,Decision - Unanimous,51.84,3.11,278.29828,Red Corner,Luana Pinheiro
Luana Santos,Mariya Agapova,11.83,0.0,1.6,Decision - Unanimous,53.81,2.0,219.51492,Red Corner,Luana Santos
Ludovit Klein,Roosevelt Roberts,3.14,0.0,1.1,Decision - Unanimous,56.37,2.06,113.40834,Red Corner,Ludovit Klein
Mackenzie Dern,Loopy Godinez,94.6,1.0,3.13,Decision - Unanimous,92.96,1.0,227.0502,Red Corner,Mackenzie Dern
Manel Kape,Bruno Silva,21.19,1.0,2.19,Decision - Unanimous,107.67,1.0,281.34198,Red Corner,Manel Kape
Manuel Torres,Ignacio Bahamondes,122.85,0.0,1.24,KO/TKO,3.0,1.0,193.5082,Red Corner,Manuel Torres
Marlon Vera,Deiveson Figueiredo,42.33,1.7,2.05,Decision - Unanimous,24.92,1.0,282.5706,Blue Corner,Deiveson Figueiredo
Mateusz Gamrot,Dan Hooker,119.32,1.0,3.27,Decision - Unanimous,58.21,4.15,220.46864,Red Corner,Mateusz Gamrot
Matheus Nicolau,Alex Perez,8.26,1.0,0.75,Decision - Unanimous,31.27,1.0,171.65297,Red Corner,Matheus Nicolau
Matheus Nicolau,Asu Almabayev,44.41,8.23,1.59,Decision - Unanimous,28.47,1.0,161.50758,Blue Corner,Asu Almabayev
Matthew Semelsberger,Charles Radtke,28.74,1.0,0.51,Decision - Unanimous,2.77,1.0,137.98274,Blue Corner,Charles Radtke
Mayra Bueno Silva,Macy Chiasson,4.77,1.0,0.0,KO/TKO,3.75,0.0,50.071583,Red Corner,Mayra Bueno Silva
Michael Chiesa,Max Griffin,46.04,1.0,0.97,Decision - Unanimous,6.67,2.1,219.40915,Blue Corner,Max Griffin
Michael Johnson,Ottman Azaitar,9.73,0.0,1.48,Decision - Unanimous,19.6,1.0,168.0739,Red Corner,Michael Johnson
Michel Pereira,Ihor Potieria,65.94,0.0,1.28,Decision - Split,9.24,1.0,164.94106,Blue Corner,Ihor Potieria
Michelle Waterson-Gomez,Gillian Robertson,75.95,1.49,3.04,Decision - Unanimous,61.89,1.0,226.06934,Red Corner,Michelle Waterson-Gomez
Mickey Gall,Bassil Hafez,35.96,3.06,1.4,Decision - Unanimous,11.99,1.0,182.57574,Blue Corner,Bassil Hafez
Mickey Gall,Ramiz Brahimaj,28.06,1.5,0.97,KO/TKO,12.28,1.0,214.56035,Blue Corner,Ramiz Brahimaj
Mike Malott,Trevin Giles,0.99,1.04,0.36,KO/TKO,18.19,2.0,90.35374,Red Corner,Mike Malott
Miranda Maverick,Jamey-Lyn Horth,40.85,1.0,2.47,Decision - Unanimous,25.46,1.0,261.56647,Red Corner,Miranda Maverick
Modestas Bukauskas,Marcin Prachnio,102.14,1.0,1.62,Decision - Unanimous,20.25,0.0,183.9268,Red Corner,Modestas Bukauskas
Molly McCann,Bruna Brasil,27.13,1.0,1.73,Decision - Unanimous,37.05,1.0,163.73242,Red Corner,Molly McCann
Morgan Charriere,Chepe Mariscal,46.1,1.0,1.6,Decision - Unanimous,23.7,0.0,178.53716,Red Corner,Morgan Charriere
Morgan Charriere,Gabriel Miranda,1.97,1.0,0.39,Decision - Unanimous,25.52,0.0,138.93622,Red Corner,Morgan Charriere
Movsar Evloev,Aljamain Sterling,100.7,4.96,2.79,Decision - Unanimous,70.32,3.26,284.68265,Blue Corner,Aljamain Sterling
Muhammad Mokaev,Manel Kape,57.79,1.0,1.97,KO/TKO,14.85,3.39,200.46544,Blue Corner,Manel Kape
Nasrat Haqparast,Jared Gordon,66.59,1.0,1.23,Decision - Unanimous,12.9,0.0,189.61003,Blue Corner,Jared Gordon
Nassourdine Imavov,Brendan Allen,43.53,1.0,2.21,KO/TKO,43.83,4.26,271.48975,Red Corner,Nassourdine Imavov
Nate Landwehr,Jamall Emmers,10.56,1.0,1.61,Decision - Unanimous,61.75,1.0,181.27966,Blue Corner,Jamall Emmers
Nathaniel Wood,Daniel Pineda,28.8,1.0,1.49,Decision - Unanimous,42.73,1.92,150.75621,Red Corner,Nathaniel Wood
Neil Magny,Carlos Prates,34.8,0.0,1.7,Decision - Unanimous,31.96,1.0,205.44173,Red Corner,Neil Magny
Neil Magny,Michael Morales,67.5,1.0,2.6,Decision - Unanimous,31.1,1.0,274.88812,Red Corner,Neil Magny
Niko Price,Alex Morono,33.39,0.61,2.77,Decision - Unanimous,108.2,1.0,265.95773,Red Corner,Niko Price
Nora Cornolle,Jacqueline Cavalcanti,114.2,0.0,3.31,Decision - Unanimous,36.94,0.0,218.66682,Red Corner,Nora Cornolle
